id,codigo,descripcion,departamento_id
15,06,CARHUAZ,9
208,01,TACNA,207
209,02,CANDARAVE,207
2,01,CHACHAPOYAS,1
3,02,BAGUA,1
4,03,BONGARA,1
5,04,CONDORCANQUI,1
6,05,LUYA,1
7,06,RODRIGUEZ DE MENDOZA,1
8,07,UTCUBAMBA,1
10,01,HUARAZ,9
11,02,AIJA,9
12,03,ANTONIO RAYMONDI,9
13,04,ASUNCION,9
14,05,BOLOGNESI,9
16,07,CARLOS FERMIN FITZCARRALD,9
17,08,CASMA,9
18,09,CORONGO,9
19,10,HUARI,9
20,11,HUARMEY,9
21,12,HUAYLAS,9
22,13,MARISCAL LUZURIAGA,9
23,14,OCROS,9
24,15,PALLASCA,9
25,16,POMABAMBA,9
26,17,RECUAY,9
27,18,SANTA,9
28,19,SIHUAS,9
29,20,YUNGAY,9
31,01,ABANCAY,30
32,02,ANDAHUAYLAS,30
33,03,ANTABAMBA,30
34,04,AYMARAES,30
35,05,COTABAMBAS,30
36,06,CHINCHEROS,30
37,07,GRAU,30
39,01,AREQUIPA,38
40,02,CAMANA,38
41,03,CARAVELI,38
42,04,CASTILLA,38
43,05,CAYLLOMA,38
44,06,CONDESUYOS,38
45,07,ISLAY,38
46,08,LA UNION,38
48,01,HUAMANGA,47
49,02,CANGALLO,47
50,03,HUANCA SANCOS,47
51,04,HUANTA,47
52,05,LA MAR,47
53,06,LUCANAS,47
54,07,PARINACOCHAS,47
55,08,PAUCAR DEL SARA SARA,47
56,09,SUCRE,47
57,10,VICTOR FAJARDO,47
58,11,VILCAS HUAMAN,47
60,01,CAJAMARCA,59
61,02,CAJABAMBA,59
62,03,CELENDIN,59
63,04,CHOTA,59
64,05,CONTUMAZA,59
65,06,CUTERVO,59
66,07,HUALGAYOC,59
67,08,JAEN,59
68,09,SAN IGNACIO,59
69,10,SAN MARCOS,59
70,11,SAN MIGUEL,59
71,12,SAN PABLO,59
72,13,SANTA CRUZ,59
74,01,CALLAO,73
76,01,CUSCO,75
77,02,ACOMAYO,75
78,03,ANTA,75
79,04,CALCA,75
80,05,CANAS,75
81,06,CANCHIS,75
82,07,CHUMBIVILCAS,75
83,08,ESPINAR,75
84,09,LA CONVENCION,75
85,10,PARURO,75
86,11,PAUCARTAMBO,75
87,12,QUISPICANCHI,75
88,13,URUBAMBA,75
90,01,HUANCAVELICA,89
91,02,ACOBAMBA,89
92,03,ANGARAES,89
93,04,CASTROVIRREYNA,89
94,05,CHURCAMPA,89
95,06,HUAYTARA,89
96,07,TAYACAJA,89
98,01,HUANUCO,97
99,02,AMBO,97
100,03,DOS DE MAYO,97
101,04,HUACAYBAMBA,97
102,05,HUAMALIES,97
103,06,LEONCIO PRADO,97
104,07,MARAÑON,97
105,08,PACHITEA,97
106,09,PUERTO INCA,97
107,10,LAURICOCHA,97
108,11,YAROWILCA,97
110,01,ICA,109
111,02,CHINCHA,109
112,03,NAZCA,109
113,04,PALPA,109
114,05,PISCO,109
116,01,HUANCAYO,115
117,02,CONCEPCION,115
118,03,CHANCHAMAYO,115
119,04,JAUJA,115
120,05,JUNIN,115
121,06,SATIPO,115
122,07,TARMA,115
123,08,YAULI,115
124,09,CHUPACA,115
126,01,TRUJILLO,125
127,02,ASCOPE,125
128,03,BOLIVAR,125
129,04,CHEPEN,125
130,05,JULCAN,125
131,06,OTUZCO,125
132,07,PACASMAYO,125
133,08,PATAZ,125
134,09,SANCHEZ CARRION,125
135,10,SANTIAGO DE CHUCO,125
136,11,GRAN CHIMU,125
137,12,VIRU,125
139,01,CHICLAYO,138
140,02,FERREÑAFE,138
141,03,LAMBAYEQUE,138
143,01,LIMA,142
144,02,BARRANCA,142
145,03,CAJATAMBO,142
146,04,CANTA,142
147,05,CAÑETE,142
148,06,HUARAL,142
149,07,HUAROCHIRI,142
150,08,HUAURA,142
151,09,OYON,142
152,10,YAUYOS,142
154,01,MAYNAS,153
155,02,ALTO AMAZONAS,153
156,03,LORETO,153
157,04,MARISCAL RAMON CASTILLA,153
158,05,REQUENA,153
159,06,UCAYALI,153
160,07,DATEM DEL MARAÑON,153
162,01,TAMBOPATA,161
163,02,MANU,161
164,03,TAHUAMANU,161
166,01,MARISCAL NIETO,165
167,02,GENERAL SANCHEZ CERRO,165
168,03,ILO,165
170,01,PASCO,169
171,02,DANIEL ALCIDES CARRION,169
172,03,OXAPAMPA,169
174,01,PIURA,173
175,02,AYABACA,173
176,03,HUANCABAMBA,173
177,04,MORROPON,173
178,05,PAITA,173
179,06,SULLANA,173
180,07,TALARA,173
181,08,SECHURA,173
183,01,PUNO,182
184,02,AZANGARO,182
185,03,CARABAYA,182
186,04,CHUCUITO,182
187,05,EL COLLAO,182
188,06,HUANCANE,182
189,07,LAMPA,182
190,08,MELGAR,182
191,09,MOHO,182
192,10,SAN ANTONIO DE PUTINA,182
193,11,SAN ROMAN,182
194,12,SANDIA,182
195,13,YUNGUYO,182
197,01,MOYOBAMBA,196
198,02,BELLAVISTA,196
199,03,EL DORADO,196
200,04,HUALLAGA,196
201,05,LAMAS,196
202,06,MARISCAL CACERES,196
203,07,PICOTA,196
204,08,RIOJA,196
205,09,SAN MARTIN,196
206,10,TOCACHE,196
210,03,JORGE BASADRE,207
211,04,TARATA,207
213,01,TUMBES,212
214,02,CONTRALMIRANTE VILLAR,212
215,03,ZARUMILLA,212
217,01,CORONEL PORTILLO,216
218,02,ATALAYA,216
219,03,PADRE ABAD,216
220,04,PURUS,216
